source_mat_id,chlorophyll,chlorophyll_method,sea_surf_temp,sea_surf_temp_method,sea_subsurf_temp,sea_subsurf_temp_method,sea_surf_salinity,sea_surf_salinity_method,sea_subsurf_salinity,sea_subsurf_salinity_method,alkalinity,alkalinity_method,ammonium,ammonium_method,bac_prod,bac_prod_method,biomass,biomass_method,chem_administration,conduc,conduc_method,density,density_method,diss_carb_dioxide,diss_carb_dioxide_method,diss_inorg_carb,diss_inorg_carb_method,diss_org_carb,diss_org_carb_method,diss_org_nitro,diss_org_nitro_method,down_par,down_par_method,diss_oxygen,diss_oxygen_method,n_alkanes,n_alkanes_method,nitrate,nitrate_method,nitrite,nitrite_method,organism_count,organism_count_method,ph,ph_method,part_org_carb,part_org_carb_method,part_org_nitro,part_org_nitro_method,petroleum_hydrocarb,petroleum_hydrocarb_method,phaeopigments,phaeopigments_method,phosphate,phosphate_method,pigments,pigments_method,pressure,pressure_method,primary_prod,primary_prod_method,silicate,silicate_method,sulfate,sulfate_method,sulfide,sulfide_method,turbidity,turbidity_method,water_current,water_current_method
EMOBON_HCMR-1_Wa_221027_0.2um_3,0.212,TD-700 Laboratory Fluorometer,21.7,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,21.7,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,39.5,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,39.5,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_HCMR-1_Wa_221027_0.2um_4,0.212,TD-700 Laboratory Fluorometer,21.7,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,21.7,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,39.5,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,39.5,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_HCMR-1_Wa_221027_3um_1,0.212,TD-700 Laboratory Fluorometer,21.7,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,21.7,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,39.5,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,39.5,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_HCMR-1_Wa_221027_3um_2,0.212,TD-700 Laboratory Fluorometer,21.7,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,21.7,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,39.5,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,39.5,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_HCMR-1_Wa_221027_3um_3,0.212,TD-700 Laboratory Fluorometer,21.7,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,21.7,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,39.5,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,39.5,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_HCMR-1_Wa_221027_3um_4,0.212,TD-700 Laboratory Fluorometer,21.7,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,21.7,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,39.5,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,39.5,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_HCMR-1_Wa_230217_0.2um_1,,TD-700 Laboratory Fluorometer,16.1,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,16.1,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,38.4,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,38.4,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_HCMR-1_Wa_230217_0.2um_2,,TD-700 Laboratory Fluorometer,16.1,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,16.1,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,38.4,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,38.4,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_HCMR-1_Wa_230217_0.2um_3,,TD-700 Laboratory Fluorometer,16.1,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,16.1,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,38.4,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,38.4,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_HCMR-1_Wa_230217_0.2um_4,,TD-700 Laboratory Fluorometer,16.1,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,16.1,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,38.4,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,38.4,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_HCMR-1_Wa_230217_3um_1,,TD-700 Laboratory Fluorometer,16.1,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,16.1,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,38.4,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,38.4,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_HCMR-1_Wa_230217_3um_2,,TD-700 Laboratory Fluorometer,16.1,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,16.1,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,38.4,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,38.4,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_HCMR-1_Wa_230217_3um_3,,TD-700 Laboratory Fluorometer,16.1,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,16.1,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,38.4,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,38.4,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_HCMR-1_Wa_230217_3um_4,,TD-700 Laboratory Fluorometer,16.1,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,16.1,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,38.4,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,38.4,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_HCMR-1_Wa_230425_0.2um_1,,TD-700 Laboratory Fluorometer,18.5,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,18.5,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,38.2,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,38.2,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_HCMR-1_Wa_230425_0.2um_2,,TD-700 Laboratory Fluorometer,18.5,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,18.5,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,38.2,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,38.2,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_HCMR-1_Wa_230425_0.2um_3,,TD-700 Laboratory Fluorometer,18.5,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,18.5,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,38.2,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,38.2,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_HCMR-1_Wa_230425_0.2um_4,,TD-700 Laboratory Fluorometer,18.5,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,18.5,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,38.2,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,38.2,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_HCMR-1_Wa_230425_3um_1,,TD-700 Laboratory Fluorometer,18.5,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,18.5,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,38.2,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,38.2,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_HCMR-1_Wa_230425_3um_2,,TD-700 Laboratory Fluorometer,18.5,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,18.5,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,38.2,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,38.2,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_HCMR-1_Wa_230425_3um_3,,TD-700 Laboratory Fluorometer,18.5,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,18.5,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,38.2,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,38.2,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_HCMR-1_Wa_230425_3um_4,,TD-700 Laboratory Fluorometer,18.5,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,18.5,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,38.2,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,38.2,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_HCMR-1_Wa_230626_0.2um_1,,TD-700 Laboratory Fluorometer,24.9,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,24.9,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,39.5,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,39.5,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_HCMR-1_Wa_230626_0.2um_2,,TD-700 Laboratory Fluorometer,24.9,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,24.9,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,39.5,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,39.5,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_HCMR-1_Wa_230626_0.2um_3,,TD-700 Laboratory Fluorometer,24.9,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,24.9,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,39.5,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,39.5,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_HCMR-1_Wa_230626_0.2um_4,,TD-700 Laboratory Fluorometer,24.9,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,24.9,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,39.5,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,39.5,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_HCMR-1_Wa_230626_3um_1,,TD-700 Laboratory Fluorometer,24.9,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,24.9,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,39.5,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,39.5,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_HCMR-1_Wa_230626_3um_2,,TD-700 Laboratory Fluorometer,24.9,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,24.9,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,39.5,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,39.5,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_HCMR-1_Wa_230626_3um_3,,TD-700 Laboratory Fluorometer,24.9,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,24.9,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,39.5,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,39.5,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_HCMR-1_Wa_230626_3um_4,,TD-700 Laboratory Fluorometer,24.9,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,24.9,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,39.5,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,39.5,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_HCMR-1_Wa_230906_0.2um_1,,TD-700 Laboratory Fluorometer,26.7,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,26.7,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,39.6,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,39.6,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_HCMR-1_Wa_230906_0.2um_2,,TD-700 Laboratory Fluorometer,26.7,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,26.7,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,39.6,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,39.6,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_HCMR-1_Wa_230906_0.2um_3,,TD-700 Laboratory Fluorometer,26.7,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,26.7,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,39.6,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,39.6,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_HCMR-1_Wa_230906_0.2um_4,,TD-700 Laboratory Fluorometer,26.7,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,26.7,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,39.6,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,39.6,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_HCMR-1_Wa_230906_3um_1,,TD-700 Laboratory Fluorometer,26.7,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,26.7,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,39.6,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,39.6,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_HCMR-1_Wa_230906_3um_2,,TD-700 Laboratory Fluorometer,26.7,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,26.7,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,39.6,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,39.6,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_HCMR-1_Wa_230906_3um_3,,TD-700 Laboratory Fluorometer,26.7,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,26.7,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,39.6,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,39.6,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_HCMR-1_Wa_230906_3um_4,,TD-700 Laboratory Fluorometer,26.7,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,26.7,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,39.6,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,39.6,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
